Observations	YearOrd	Day	quantum	GroupCount	mean_MO	median_MO	numel_MO	std_MO	Fun5_MO	Fun6_MO	mean_Fco2_21m_nee_stat_int_Ustar	median_Fco2_21m_nee_stat_int_Ustar	numel_Fco2_21m_nee_stat_int_Ustar	std_Fco2_21m_nee_stat_int_Ustar	Fun5_Fco2_21m_nee_stat_int_Ustar	Fun6_Fco2_21m_nee_stat_int_Ustar	mean_Fco2_21m_nee_stat_int	median_Fco2_21m_nee_stat_int	numel_Fco2_21m_nee_stat_int	std_Fco2_21m_nee_stat_int	Fun5_Fco2_21m_nee_stat_int	Fun6_Fco2_21m_nee_stat_int	mean_w_h2o_21m	median_w_h2o_21m	numel_w_h2o_21m	std_w_h2o_21m	Fun5_w_h2o_21m	Fun6_w_h2o_21m	mean_w_h2o_21m_Ustar	median_w_h2o_21m_Ustar	numel_w_h2o_21m_Ustar	std_w_h2o_21m_Ustar	Fun5_w_h2o_21m_Ustar	Fun6_w_h2o_21m_Ustar	mean_q	median_q	numel_q	std_q	Fun5_q	Fun6_q
1998_333_day	1998	333	day	19	11	11	19	0	11	11	-0.0118421052631579	0.034	19	0.68224810273405	-0.62525	0.40525	-0.0118421052631579	0.034	19	0.68224810273405	-0.62525	0.40525	0.449611111111111	0.446	18	0.400367498664575	0.106	0.604	0.449611111111111	0.446	18	0.400367498664575	0.106	0.604	1	1	19	0	1	1
1998_334_night	1998	334	night	30	11	11	30	0	11	11	0.570576923076923	0.5025	26	0.330554222248263	0.279	0.764	0.549259259259259	0.501	27	0.342539789108517	0.2655	0.76225	0.574566666666667	0.583	30	0.435454711476551	0.245	0.87	0.595758620689655	0.591	29	0.427128590136876	0.28775	0.87575	0	0	30	0	0	0
1998_334_day	1998	334	day	18	11	11	18	0	11	11	0.062	0.0375	18	0.352800893689678	-0.179	0.282	0.062	0.0375	18	0.352800893689678	-0.179	0.282	0.1855	0.239	18	0.331996855052432	0.132	0.387	0.1855	0.239	18	0.331996855052432	0.132	0.387	1	1	18	0	1	1
1998_335_night	1998	335	night	30	12	12	30	0	12	12	0.858133333333333	0.894	30	0.731309252634278	0.531	1.17	0.858133333333333	0.894	30	0.731309252634278	0.531	1.17	0.282166666666667	0.1965	30	0.24444491422804	0.089	0.481	0.282166666666667	0.1965	30	0.24444491422804	0.089	0.481	0	0	30	0	0	0
1998_335_day	1998	335	day	18	12	12	18	0	12	12	0.474529411764706	0.567	17	0.483423613103334	0.0855	0.86025	0.474529411764706	0.567	17	0.483423613103334	0.0855	0.86025	0.385388888888889	0.407	18	0.220947728417403	0.207	0.583	0.385388888888889	0.407	18	0.220947728417403	0.207	0.583	1	1	18	0	1	1
1998_336_night	1998	336	night	30	12	12	30	0	12	12	0.991035714285714	1.05	28	0.390694109971135	0.787	1.33	0.991035714285714	1.05	28	0.390694109971135	0.787	1.33	0.557966666666667	0.505	30	0.282107644328376	0.369	0.766	0.557966666666667	0.505	30	0.282107644328376	0.369	0.766	0	0	30	0	0	0
1998_336_day	1998	336	day	18	12	12	18	0	12	12	-0.07	-0.173	18	0.58870485964081	-0.582	0.227	-0.07	-0.173	18	0.58870485964081	-0.582	0.227	0.959444444444444	0.8155	18	0.721352261358707	0.518	1.5	0.959444444444444	0.8155	18	0.721352261358707	0.518	1.5	1	1	18	0	1	1
1998_337_night	1998	337	night	30	12	12	30	0	12	12	0.634357142857143	0.749	14	0.247705969352269	0.45	0.798	0.451857142857143	0.492	21	0.510541309368232	0.19525	0.7875	0.0809666666666667	0.034	30	0.188047588132097	0.008	0.074	0.1398	0.074	15	0.255262665839383	0.0285	0.17475	0	0	30	0	0	0
1998_337_day	1998	337	day	18	12	12	18	0	12	12	-0.0625714285714286	-0.234	14	0.759577586484824	-0.411	0.225	-0.114944444444444	-0.234	18	0.67669408087035	-0.411	0.213	0.150555555555556	0.124	18	0.191114139662886	0.036	0.278	0.181928571428571	0.1555	14	0.204801015729796	0.052	0.279	1	1	18	0	1	1
1998_338_night	1998	338	night	30	12	12	30	0	12	12	0.565153846153846	0.54	26	0.265302950199607	0.398	0.802	0.518724137931034	0.498	29	0.28700322254932	0.30475	0.78925	0.172466666666667	0.164	30	0.166879831498356	0.005	0.285	0.197769230769231	0.212	26	0.164923086969001	0.091	0.29	0	0	30	0	0	0
1998_338_day	1998	338	day	18	12	12	18	0	12	12	0.173277777777778	0.1615	18	0.296562225502122	0.03	0.311	0.173277777777778	0.1615	18	0.296562225502122	0.03	0.311	0.315	0.332	18	0.166405952947816	0.198	0.351	0.315	0.332	18	0.166405952947816	0.198	0.351	1	1	18	0	1	1
1998_339_night	1998	339	night	30	12	12	30	0	12	12	0.400791666666667	0.441	24	0.445231056689198	0.2235	0.7145	0.4104	0.448	25	0.438496389190759	0.24175	0.67775	0.185766666666667	0.194	30	0.473846816753185	0.045	0.3	0.204384615384615	0.194	26	0.433510329927496	0.067	0.281	0	0	30	0	0	0
1998_339_day	1998	339	day	18	12	12	18	0	12	12	0.622235294117647	0.626	17	0.377216040454897	0.35025	0.917	0.599777777777778	0.5755	18	0.378153338888365	0.324	0.909	0.463888888888889	0.366	18	0.388076385581179	0.209	0.63	0.408823529411765	0.345	17	0.319413962455877	0.209	0.59775	1	1	18	0	1	1
